row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128
1	None	None	0.5	None	None	None	None	None	0.5	None	None	None	0.5	None	0.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.5	0.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.5	None	None	None	None	None	0.5	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	1.0	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.5	1.0	None	None	None	None	None	None	None	0.5	None
2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.51	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.412
3	0.038	0.038	0.044	None	None	0.038	None	None	0.014	None	None	None	0.011	None	0.033	None	None	None	None	0.038	None	0.038	0.038	None	None	None	None	0.009	None	0.038	0.038	None	None	None	None	None	0.016	None	None	0.038	None	None	None	0.042	0.038	None	None	0.009	None	None	None	None	None	0.038	0.038	0.038	0.038	None	None	None	None	0.038	0.038	0.038	None	None	0.038	0.009	None	None	None	0.038	None	None	0.013	0.038	None	None	None	None	0.038	None	None	None	None	0.014	None	None	None	0.038	0.04	0.038	None	None	0.014	0.052	None	None	0.026	0.227	0.038	None	None	0.257	None	0.038	None	0.038	None	None	None	None	0.041	None	0.038	None	0.043	0.039	0.01	None	None	0.529	None	0.038	None	0.038	0.042	None
4	None	0.962	0.323	None	None	0.324	None	None	None	None	None	None	None	None	None	None	None	None	None	0.923	None	None	0.962	None	None	None	None	None	None	None	0.611	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.055	None	None	None	None	0.923	0.131	0.611	0.923	0.962	None	None	None	None	None	0.962	0.229	None	None	None	0.055	None	None	None	None	None	None	None	0.418	None	None	None	None	0.962	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.062	None	None	None	None	0.962	None	None	0.202	None	0.865	None	0.962	None	None	None	None	None	None	0.288	None	None	None	None	None	None	0.419	None	0.962	None	None	None	None
5	None	None	0.045	None	None	None	None	None	0.064	None	None	None	0.027	None	0.082	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.118	0.082	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.064	None	None	None	None	None	0.036	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.064	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.073	0.045	None	None	None	None	None	None	None	0.118	None
6	0.857	0.857	0.136	None	None	0.167	None	None	0.104	None	None	None	0.068	None	0.119	None	None	None	None	0.718	None	0.857	0.857	None	None	None	None	0.138	None	0.857	0.425	None	None	None	None	None	0.116	None	None	0.177	None	None	None	0.081	0.125	None	None	0.049	None	None	None	None	0.718	0.171	0.425	0.714	0.857	None	None	None	None	0.074	0.857	0.857	None	None	0.263	0.05	None	None	None	0.857	None	None	0.162	0.605	None	None	None	None	0.857	None	None	None	None	0.102	None	None	None	0.857	0.725	0.857	0.666	None	0.139	0.753	None	None	0.051	0.714	0.845	None	None	0.231	None	0.42	None	0.857	None	None	None	None	0.141	None	0.236	None	0.123	0.083	0.094	None	None	0.605	None	0.857	None	0.857	0.081	None
7	None	None	0.875	None	None	None	None	None	0.875	None	None	None	0.875	None	0.875	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.875	0.875	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.875	None	None	None	None	None	0.875	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.875	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.875	0.875	None	None	None	None	None	None	None	0.875	None
8	None	None	0.418	None	None	None	None	None	0.291	None	None	None	0.182	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.691	0.309	None	None	0.118	None	None	None	None	None	None	None	None	None	None	None	None	None	0.882	None	None	None	None	None	0.118	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.527	None	None	0.318	None	None	0.255	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.2	None	None	None	None	None	None	None	0.691	None
9	0.897	0.897	0.396	None	None	0.897	None	None	0.634	None	None	None	0.672	None	0.675	None	None	None	None	0.808	None	None	0.837	None	None	None	None	None	None	None	0.969	None	None	None	None	None	None	None	None	0.781	None	None	None	0.45	0.661	None	None	0.659	None	None	None	None	0.808	0.795	0.969	0.786	0.837	None	None	None	None	0.374	0.837	0.897	None	None	0.828	0.659	None	None	None	0.897	None	None	0.508	0.824	None	None	None	None	0.897	None	None	None	None	0.401	None	None	None	0.715	0.781	0.783	None	None	0.339	None	None	None	0.191	0.829	0.815	None	None	0.811	None	0.758	None	0.897	None	None	None	None	None	None	0.897	None	None	0.459	0.609	None	None	0.861	None	0.897	None	0.897	0.47	None
10	None	None	None	None	None	None	None	None	None	None	None	None	0.079	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.222	0.058	None	None	0.132	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.132	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
11	0.5	0.5	0.6	None	None	0.6	None	None	0.8	None	None	None	0.5	None	0.5	None	None	None	None	0.6	None	0.5	0.8	None	None	None	None	0.8	None	0.5	0.8	None	None	None	None	None	0.6	None	None	0.3	None	None	None	0.5	0.5	None	None	None	None	None	None	None	None	0.7	0.8	0.8	0.8	None	None	None	None	0.4	0.8	0.5	None	None	0.6	0.4	None	None	None	0.5	None	None	0.6	0.8	None	None	None	None	0.5	None	None	None	None	0.8	None	None	None	0.8	0.6	0.5	None	None	0.8	None	None	None	0.4	0.5	0.7	None	None	0.2	None	0.6	None	0.5	None	None	None	None	0.7	None	0.6	None	0.3	0.6	0.6	None	None	0.7	None	0.5	None	0.5	0.5	None
