blah	svmlight_multiclass-linear	IBk_weka_nominal	simple-naive-bayes	LogitBoost_weka_nominal
Synthetic-10%-Density-Small-Few-Labels	0.101333333333333	0.00177777777777778	0.431555555555556	0.00177777777777778
Synthetic-50%-Density-Small-Few-Labels	0.189333333333333	0.163111111111111	0.334666666666667	0.185333333333333
Synthetic-75%-Density-Small-Few-Labels	0.225333333333333	0.143555555555556	0.572444444444444	0.146222222222222
Synthetic-10%-Density-Small-Many-Labels	0.156	0.00133333333333333	0.488	0.00133333333333333
Synthetic-75%-Density-Small-Many-Labels	0.489333333333333	0.248888888888889	0.748444444444444	0.224888888888889
Synthetic-50%-Density-Small-Many-Labels	0.489333333333333	0.248888888888889	0.748444444444444	0.224888888888889
Synthetic-10%-Density-Large-Few-Labels	0.369777777777778	0.594666666666667	0.666666666666667	0.517777777777778
Synthetic-50%-Density-Large-Few-Labels	0.415555555555556	0.588888888888889	0.698666666666667	0.504
Synthetic-75%-Density-Large-Few-Labels	0.335555555555556	0.448444444444444	0.592444444444444	0.340444444444444
Synthetic-10%-Density-Large-Many-Labels	0.671111111111111	0.931111111111111	0.911555555555556	0.878666666666667
Synthetic-50%-Density-Large-Many-Labels	0.612	0.891111111111111	0.907555555555556	0.817333333333333
Synthetic-75%-Density-Large-Many-Labels	0.436888888888889	0.657333333333333	0.689333333333333	1.0
